_date,total_clones,unique_clones
2021-09-17,3,3
2021-09-21,3,3
2021-09-22,1,1
2021-09-25,1,1
2021-09-26,1,1
2021-10-04,2,2
2021-10-05,9,7
2021-10-06,1,1
2021-10-11,1,1
2021-10-19,5,3
2021-10-21,3,1
2021-10-23,4,1
2021-10-25,6,3
2021-10-26,2,1
2021-11-08,1,1
2021-11-19,1,1
2021-11-25,1,1
2021-12-02,1,1
2021-12-09,1,1
2021-12-11,1,1
2021-12-14,2,2
2021-12-20,1,1
2021-12-24,1,1
2022-01-04,2,1
2022-01-09,1,1
2022-01-10,1,1
2022-01-21,1,1
2022-01-25,1,1
2022-03-14,1,1
2022-03-20,2,1
2022-04-06,1,1
2022-04-13,1,1
2022-04-22,1,1
2022-05-17,1,1
2022-05-20,1,1
2022-06-01,2,1
2022-06-15,3,2
2022-06-22,1,1
2022-06-29,4,2
2022-07-04,1,1
2022-07-11,1,1
2022-07-15,1,1
