_date,total_clones,unique_clones
2021-12-21,19,7
2021-12-22,2,2
2022-01-05,24,9
2022-01-06,1,1
2022-01-08,1,1
2022-01-09,1,1
2022-01-10,7,4
2022-01-11,17,8
2022-01-12,6,4
2022-01-17,5,3
2022-01-18,1,1
2022-01-19,7,5
2022-01-20,7,5
2022-01-25,1,1
2022-01-27,7,5
2022-02-08,10,5
2022-02-10,5,4
2022-02-11,1,1
2022-02-15,2,1
2022-02-28,1,1
2022-03-14,6,4
2022-03-18,2,1
2022-04-22,1,1
2022-05-13,2,2
2022-05-17,1,1
2022-05-28,1,1
2022-05-29,1,1
2022-06-02,28,6
2022-06-03,3,2
2022-06-06,1,1
2022-06-09,8,4
2022-06-10,1,1
2022-06-17,1,1
2022-06-19,1,1
2022-06-22,6,4
2022-06-23,2,1
