_date,total_clones,unique_clones
2022-06-16,4,3
2022-06-17,1,1
2022-06-20,2,2
2022-06-22,1,1
2022-06-27,6,5
2022-07-04,4,3
2022-07-11,1,1
2022-07-18,3,2
2022-07-24,1,1
2022-07-25,3,2
2022-07-26,1,1
2022-07-30,1,1
2022-08-01,1,1
2022-08-02,1,1
2022-08-08,1,1
2022-08-15,1,1
2022-08-22,1,1
2022-08-29,1,1
2022-09-05,1,1
2022-09-12,1,1
2022-09-19,1,1
2022-09-26,1,1
2022-10-03,1,1
2022-10-07,2,1
2022-10-10,4,3
2022-10-17,1,1
2022-10-21,1,1
2022-10-24,1,1
2022-10-31,4,3
2022-11-01,1,1
2022-11-07,1,1
2022-11-14,1,1
2022-11-21,2,1
2022-11-22,1,1
2022-11-28,3,2
2022-11-30,1,1
2022-12-05,1,1
2022-12-07,2,1
2022-12-08,2,2
2022-12-12,2,1
2022-12-19,3,2
2022-12-21,1,1
2022-12-26,6,4
2023-01-01,1,1
