_date,total_views,unique_views
2020-12-03,65,1
2020-12-04,60,2
2020-12-07,70,16
2020-12-08,14,6
2020-12-09,11,1
2020-12-11,10,1
2020-12-12,2,1
2020-12-14,3,1
2020-12-15,10,1
2020-12-16,5,1
2020-12-17,3,1
2020-12-18,4,1
2020-12-19,3,1
2020-12-20,3,1
2020-12-21,1,1
2020-12-30,3,1
2021-01-04,3,1
2021-01-05,10,2
2021-01-07,5,1
2021-01-08,2,2
2021-01-11,1,1
2021-01-12,1,1
2021-01-13,3,1
2021-01-15,2,1
2021-01-18,4,2
2021-01-21,2,1
2021-01-22,4,1
2021-01-25,5,1
2021-01-30,7,1
2021-02-01,2,1
2021-02-03,1,1
2021-02-04,6,3
2021-02-05,11,2
2021-02-08,3,1
2021-02-10,6,1
2021-02-11,5,2
2021-02-12,11,1
2021-02-15,5,1
2021-02-17,14,3
2021-02-22,2,1
2021-02-23,1,1
2021-02-24,2,1
2021-02-26,11,2
2021-03-01,4,1
2021-03-03,2,1
2021-03-04,5,3
2021-03-05,1,1
2021-03-08,2,1
2021-03-09,4,1
2021-03-15,9,1
2021-03-16,5,1
2021-03-17,1,1
2021-03-18,3,2
2021-03-19,4,1
2021-03-21,3,1
2021-03-22,3,1
2021-03-23,2,1
2021-03-24,1,1
2021-03-25,1,1
2021-03-26,1,1
2021-03-29,22,1
2021-03-31,1,1
2021-04-06,3,1
2021-04-12,3,1
2021-04-13,1,1
2021-04-19,51,1
2021-04-24,1,1
2021-04-26,4,1
2021-04-27,1,1
2021-05-03,1,1
2021-05-04,1,1
2021-05-05,9,6
2021-05-09,1,1
2021-05-10,4,1
2021-05-11,2,1
2021-05-13,4,1
2021-05-14,4,2
2021-05-17,24,2
2021-05-18,3,1
2021-05-19,4,1
2021-05-20,18,2
2021-05-21,1,1
2021-05-22,3,1
2021-05-23,1,1
2021-05-24,1,1
2021-05-25,7,1
2021-05-27,3,2
2021-05-28,2,1
2021-05-31,3,1
2021-06-07,3,1
2021-06-09,1,1
2021-06-10,2,2
2021-06-11,5,2
2021-06-14,1,1
2021-06-22,3,1
2021-06-28,2,1
2021-06-30,7,2
2021-07-05,3,1
2021-07-08,1,1
2021-07-09,2,1
2021-07-10,1,1
2021-07-11,1,1
2021-07-12,1,1
2021-07-15,2,1
2021-07-19,7,1
2021-07-26,3,1
2021-07-28,1,1
2021-07-29,1,1
2021-07-30,1,1
2021-08-02,3,1
2021-08-04,1,1
2021-08-09,2,1
2021-08-11,1,1
2021-08-17,2,1
2021-08-19,1,1
2021-08-22,15,1
2021-08-23,7,2
2021-08-24,2,1
2021-08-25,1,1
2021-08-30,2,1
2021-08-31,1,1
2021-09-01,11,1
2021-09-06,2,1
2021-09-07,1,1
2021-09-10,10,1
2021-09-13,2,1
2021-09-14,3,1
2021-09-15,5,1
2021-09-17,1,1
2021-09-20,2,1
2021-09-21,1,1
2021-09-27,2,1
2021-10-04,3,1
2021-10-05,2,1
2021-10-08,3,1
2021-10-09,2,1
2021-10-10,3,1
2021-10-11,4,1
2021-10-13,4,1
2021-10-15,1,1
2021-10-16,1,1
2021-10-18,1,1
2021-10-21,6,1
2021-10-22,9,1
2021-10-23,23,1
2021-10-25,14,1
2021-10-26,4,1
2021-10-28,2,2
2021-10-29,3,2
2021-11-01,3,1
2021-11-02,2,1
2021-11-03,1,1
2021-11-08,2,1
2021-11-09,1,1
2021-11-15,22,2
2021-11-16,1,1
2021-11-18,8,2
2021-11-19,3,1
2021-11-22,15,2
2021-11-30,6,1
2021-12-03,1,1
2021-12-05,7,1
2021-12-06,4,1
2021-12-07,4,2
2021-12-13,1,1
2021-12-16,4,2
2021-12-20,5,1
2021-12-27,5,1
2021-12-31,12,2
2022-01-03,1,1
2022-01-04,1,1
2022-01-10,6,1
2022-01-11,5,2
2022-01-14,5,1
2022-01-17,2,2
2022-01-18,2,2
2022-01-19,1,1
2022-01-20,2,2
2022-01-21,1,1
2022-01-24,1,1
2022-01-25,2,2
2022-01-26,1,1
2022-01-31,1,1
2022-02-02,1,1
2022-02-07,1,1
2022-02-08,1,1
2022-02-10,6,1
2022-02-13,1,1
2022-02-14,5,1
2022-02-16,3,2
2022-02-21,3,1
2022-02-22,10,4
2022-02-23,1,1
2022-02-25,1,1
2022-02-28,5,2
2022-03-02,1,1
2022-03-07,6,2
2022-03-14,10,2
2022-03-19,1,1
2022-03-21,6,1
2022-03-22,3,1
2022-03-23,7,2
2022-03-25,72,1
2022-03-26,5,2
2022-03-28,20,2
2022-04-01,1,1
2022-04-04,13,2
2022-04-06,1,1
2022-04-07,1,1
2022-04-08,1,1
2022-04-11,5,1
2022-04-12,1,1
2022-04-18,2,1
2022-04-21,5,5
