_date,total_views,unique_views
2021-06-03,37,3
2021-06-04,39,3
2021-06-09,145,5
2021-06-10,3,1
2021-06-14,5,1
2021-06-15,5,1
2021-06-16,6,1
2021-06-18,1,1
2021-06-23,1,1
2021-06-29,1,1
2021-06-30,7,1
2021-07-04,1,1
2021-07-08,3,2
2021-07-19,1,1
2021-07-22,3,1
2021-08-02,2,1
2021-08-05,1,1
2021-08-06,10,9
2021-08-09,2,2
2021-08-10,1,1
2021-08-12,1,1
2021-08-13,1,1
2021-08-19,2,2
2021-08-20,5,2
2021-08-21,2,1
2021-08-22,1,1
2021-08-23,1,1
2021-08-26,5,1
2021-08-29,2,2
2021-08-30,1,1
2021-08-31,4,2
2021-09-01,1,1
2021-09-07,1,1
2021-09-10,4,2
2021-09-15,1,1
2021-09-16,1,1
2021-09-17,8,2
2021-09-18,1,1
2021-09-20,1,1
2021-09-22,1,1
2021-09-27,1,1
2021-09-28,2,2
2021-09-30,3,1
2021-10-05,5,2
2021-10-06,14,1
2021-10-12,1,1
2021-10-13,2,1
2021-10-15,3,1
2021-10-19,2,2
2021-10-20,7,1
2021-10-22,4,1
2021-10-25,2,1
2021-10-26,3,1
2021-10-27,2,1
2021-10-30,1,1
2021-10-31,1,1
