_date,total_views,unique_views
2021-03-01,109,4
2021-03-02,20,9
2021-03-03,7,1
2021-03-04,32,20
2021-03-05,12,9
2021-03-06,7,3
2021-03-07,2,2
2021-03-08,23,6
2021-03-09,13,5
2021-03-13,4,2
2021-03-14,2,1
2021-03-15,1,1
2021-03-17,1,1
2021-03-19,1,1
2021-03-22,1,1
2021-03-23,1,1
2021-03-24,5,2
2021-03-25,1,1
2021-03-27,7,1
2021-03-31,1,1
2021-04-02,1,1
2021-04-08,1,1
2021-04-09,2,2
2021-04-12,1,1
2021-04-18,7,3
2021-04-19,1,1
2021-04-22,2,2
2021-04-23,1,1
2021-04-29,5,1
2021-04-30,1,1
2021-05-02,1,1
2021-05-05,3,1
2021-05-06,1,1
2021-05-07,5,2
2021-05-11,1,1
2021-05-12,1,1
2021-05-14,1,1
2021-05-15,1,1
2021-05-17,9,1
2021-05-18,2,1
2021-05-19,1,1
2021-05-20,1,1
2021-05-21,2,1
2021-05-23,1,1
2021-06-02,5,1
2021-06-10,3,2
2021-06-21,3,1
2021-06-22,5,2
2021-06-24,1,1
2021-07-12,1,1
2021-07-20,1,1
2021-07-26,2,1
2021-07-29,1,1
2021-08-02,1,1
2021-08-05,1,1
2021-08-06,1,1
2021-08-16,1,1
2021-08-18,3,2
2021-08-23,1,1
2021-09-06,2,1
2021-09-07,2,1
2021-09-10,2,2
2021-09-13,1,1
2021-10-04,2,1
2021-10-19,3,2
2021-11-01,1,1
2021-11-02,2,1
2021-11-03,7,1
2021-11-04,4,1
2021-11-09,4,2
2021-11-11,2,1
2021-11-12,1,1
2021-11-17,3,3
2021-11-19,2,1
2021-11-22,1,1
2021-11-26,1,1
2022-01-03,1,1
