_date,total_views,unique_views
2022-09-21,4,1
2022-09-23,10,1
2022-09-27,2,1
2022-09-29,7,1
2022-09-30,213,2
2022-10-01,2,1
2022-10-03,1,1
2022-10-04,6,2
2022-10-05,6,2
2022-10-06,18,3
2022-10-09,9,1
2022-10-10,4,1
2022-10-11,9,3
2022-10-12,3,2
2022-10-13,1,1
2022-10-17,1,1
2022-10-18,4,3
2022-10-19,14,4
2022-10-22,16,2
2022-10-23,14,2
2022-10-24,84,2
2022-10-25,91,5
2022-10-26,4,2
2022-10-27,2,1
2022-10-28,2,1
2022-10-29,7,1
2022-10-31,11,4
2022-11-01,6,1
2022-11-07,2,1
2022-11-08,2,2
2022-11-14,1,1
2022-11-15,1,1
2022-11-18,6,2
2022-11-20,2,1
2022-11-22,1,1
2022-11-23,1,1
2022-11-24,2,2
2022-11-25,1,1
2022-11-27,1,1
2022-11-29,2,2
2022-12-01,1,1
2022-12-02,2,2
2022-12-05,10,2
2022-12-06,20,3
2022-12-07,1,1
2022-12-08,4,1
2022-12-09,1,1
2022-12-10,4,1
2022-12-11,1,1
2022-12-13,62,4
2022-12-14,6,3
2022-12-15,66,3
2022-12-16,2,2
2022-12-19,1,1
2022-12-21,1,1
2022-12-29,1,1
2022-12-31,10,3
2023-01-01,3,1
2023-01-03,1,1
2023-01-11,10,2
2023-01-12,1,1
2023-01-13,2,2
2023-08-07,1,1
2023-08-08,1,1
2023-08-11,1,1
2023-08-14,1,1
2023-08-15,1,1
2023-08-16,2,2
2023-08-17,1,1
2023-08-23,6,2
2023-08-26,1,1
2023-08-28,1,1
2023-09-12,25,1
2023-09-13,1,1
2023-09-14,13,2
